0.1	-2.5	-0.0261343
0.1	-2.4	-0.0360974
0.1	-2.3	-0.0511832
0.1	-2.2	-0.0679522
0.1	-2.1	-0.0845324
0.1	-2	-0.0998915
0.1	-1.9	-0.113456
0.1	-1.8	-0.124911
0.1	-1.7	-0.134091
0.1	-1.6	-0.140925
0.1	-1.5	-0.1454
0.1	-1.4	-0.14755
0.1	-1.3	-0.147437
0.1	-1.2	-0.14515
0.1	-1.1	-0.140796
0.1	-1	-0.134502
0.1	-0.9	-0.126405
0.1	-0.8	-0.116658
0.1	-0.7	-0.10542
0.1	-0.6	-0.0928613
0.1	-0.5	-0.0791582
0.1	-0.4	-0.064493
0.1	-0.3	-0.0490527
0.1	-0.2	-0.0330279
0.1	-0.1	-0.0166119
0.1	0.1	0.0166119
0.1	0.2	0.0330279
0.1	0.3	0.0490527
0.1	0.4	0.064493
0.1	0.5	0.0791582
0.1	0.6	0.0928613
0.1	0.7	0.10542
0.1	0.8	0.116658
0.1	0.9	0.126405
0.1	1	0.134502
0.1	1.1	0.140796
0.1	1.2	0.14515
0.1	1.3	0.147437
0.1	1.4	0.14755
0.1	1.5	0.1454
0.1	1.6	0.140925
0.1	1.7	0.134091
0.1	1.8	0.124911
0.1	1.9	0.113456
0.1	2	0.0998915
0.1	2.1	0.0845324
0.1	2.2	0.0679522
0.1	2.3	0.0511832
0.1	2.4	0.0360974
0.1	2.5	0.0261343
0.2	-2.5	-0.0413313
0.2	-2.4	-0.0672522
0.2	-2.3	-0.100659
0.2	-2.2	-0.135968
0.2	-2.1	-0.170113
0.2	-2	-0.201384
0.2	-1.9	-0.228824
0.2	-1.8	-0.251902
0.2	-1.7	-0.270341
0.2	-1.6	-0.284027
0.2	-1.5	-0.292957
0.2	-1.4	-0.297203
0.2	-1.3	-0.2969
0.2	-1.2	-0.292228
0.2	-1.1	-0.283407
0.2	-1	-0.270691
0.2	-0.9	-0.254359
0.2	-0.8	-0.234714
0.2	-0.7	-0.21208
0.2	-0.6	-0.186798
0.2	-0.5	-0.159221
0.2	-0.4	-0.129715
0.2	-0.3	-0.0986553
0.2	-0.2	-0.0664238
0.2	-0.1	-0.0334083
0.2	0.1	0.0334083
0.2	0.2	0.0664238
0.2	0.3	0.0986553
0.2	0.4	0.129715
0.2	0.5	0.159221
0.2	0.6	0.186798
0.2	0.7	0.21208
0.2	0.8	0.234714
0.2	0.9	0.254359
0.2	1	0.270691
0.2	1.1	0.283407
0.2	1.2	0.292228
0.2	1.3	0.2969
0.2	1.4	0.297203
0.2	1.5	0.292957
0.2	1.6	0.284027
0.2	1.7	0.270341
0.2	1.8	0.251902
0.2	1.9	0.228824
0.2	2	0.201384
0.2	2.1	0.170113
0.2	2.2	0.135968
0.2	2.3	0.100659
