-50   49.99   -49.99
-49.8   49.79   -49.79
-49.6   49.5899   -49.5899
-49.4   49.3899   -49.3899
-49.2   49.1898   -49.1898
-49   48.9898   -48.9898
-48.8   48.7898   -48.7898
-48.6   48.5897   -48.5897
-48.4   48.3897   -48.3897
-48.2   48.1896   -48.1896
-48   47.9896   -47.9896
-47.8   47.7895   -47.7895
-47.6   47.5895   -47.5895
-47.4   47.3895   -47.3895
-47.2   47.1894   -47.1894
-47   46.9894   -46.9894
-46.8   46.7893   -46.7893
-46.6   46.5893   -46.5893
-46.4   46.3892   -46.3892
-46.2   46.1892   -46.1892
-46   45.9891   -45.9891
-45.8   45.7891   -45.7891
-45.6   45.589   -45.589
-45.4   45.389   -45.389
-45.2   45.1889   -45.1889
-45   44.9889   -44.9889
-44.8   44.7888   -44.7888
-44.6   44.5888   -44.5888
-44.4   44.3887   -44.3887
-44.2   44.1887   -44.1887
-44   43.9886   -43.9886
-43.8   43.7886   -43.7886
-43.6   43.5885   -43.5885
-43.4   43.3885   -43.3885
-43.2   43.1884   -43.1884
-43   42.9884   -42.9884
-42.8   42.7883   -42.7883
-42.6   42.5883   -42.5883
-42.4   42.3882   -42.3882
-42.2   42.1881   -42.1881
-42   41.9881   -41.9881
-41.8   41.788   -41.788
-41.6   41.588   -41.588
-41.4   41.3879   -41.3879
-41.2   41.1879   -41.1879
-41   40.9878   -40.9878
-40.8   40.7877   -40.7877
-40.6   40.5877   -40.5877
-40.4   40.3876   -40.3876
-40.2   40.1876   -40.1876
-40   39.9875   -39.9875
-39.8   39.7874   -39.7874
-39.6   39.5874   -39.5874
-39.4   39.3873   -39.3873
-39.2   39.1872   -39.1872
-39   38.9872   -38.9872
-38.8   38.7871   -38.7871
-38.6   38.587   -38.587
-38.4   38.387   -38.387
-38.2   38.1869   -38.1869
-38   37.9868   -37.9868
-37.8   37.7868   -37.7868
-37.6   37.5867   -37.5867
-37.4   37.3866   -37.3866
-37.2   37.1866   -37.1866
-37   36.9865   -36.9865
-36.8   36.7864   -36.7864
-36.6   36.5863   -36.5863
-36.4   36.3863   -36.3863
-36.2   36.1862   -36.1862
-36   35.9861   -35.9861
-35.8   35.786   -35.786
